Local Authority territorial CO2 emissions estimates 2005-2019 (kt CO2) - Full dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region/Country,Second Tier Authority,Local Authority,Code,Year,Industry Electricity,Industry Gas ,Industry 'Other Fuels',Large Industrial Installations,Agriculture,Industry Total,Commercial Electricity,Commercial Gas ,Commercial 'Other Fuels',Commercial Total,Public Sector Electricity,Public Sector Gas ,Public Sector 'Other Fuels',Public Sector Total,Domestic Electricity,Domestic Gas,Domestic 'Other Fuels',Domestic Total,Road Transport (A roads),Road Transport (Motorways),Road Transport (Minor roads),Diesel Railways,Transport Other,Transport Total,Net Emissions: Forest land,Net Emissions: Cropland,Net Emissions: Grassland,Net Emissions: Wetlands,Net Emissions: Settlements,Net Emissions: Harvested Wood Products,LULUCF Net Emissions,Grand Total,"Population                                              ('000s, mid-year estimate)",Per Capita Emissions (t),Area (km2),Emissions per km2 (kt)
West Midlands,Worcestershire,Worcester,E07000237,2019,13.4,8.8,16.1,0.3,0.5,39.2,29.9,17.1,0.1,47.1,7.8,10.9,0.1,18.8,32.6,93.0,3.1,128.7,40.1,1.6,52.0,0.8,5.0,99.5,-0.7,1.1,-1.4,0.0,0.8,0.0,-0.2,333.1,101.2,3.3,33.3,10.0
West Midlands,Worcestershire,Wychavon,E07000238,2019,37.5,60.6,46.2,16.0,20.4,180.8,40.5,39.1,1.4,81.0,6.2,8.4,0.8,15.4,49.9,106.1,36.8,192.8,145.4,234.6,91.0,9.4,14.8,495.1,-17.9,22.6,-27.5,0.0,15.5,0.0,-7.3,957.9,129.4,7.4,663.5,1.4
West Midlands,Worcestershire,Wyre Forest,E07000239,2019,19.6,8.0,28.9,0.0,4.8,61.4,20.6,16.0,0.6,37.1,3.8,9.7,0.1,13.6,35.3,96.7,12.7,144.7,63.5,0.0,64.8,0.7,9.9,139.0,-12.6,5.6,-8.1,0.0,5.0,0.0,-10.1,385.7,101.3,3.8,195.4,2.0
East of England,Bedfordshire,Bedford,E06000055,2019,31.1,9.8,27.8,6.6,11.4,86.7,46.4,26.0,1.3,73.6,12.5,24.5,0.3,37.3,59.1,159.5,20.7,239.3,189.1,0.0,94.1,23.9,7.1,314.2,-14.9,11.0,-16.5,0.0,5.0,0.0,-15.4,735.8,173.3,4.2,476.4,1.5
East of England,Bedfordshire,Central Bedfordshire,E06000056,2019,57.8,16.6,180.7,0.5,16.1,271.7,59.3,55.1,2.0,116.4,10.3,19.1,0.6,30.1,98.2,273.2,27.2,398.6,253.1,335.6,177.7,11.0,5.2,782.6,-27.5,17.1,-26.5,0.0,10.2,0.0,-26.8,"1,572.6",288.6,5.4,715.7,2.2
East of England,Cambridgeshire,Cambridge,E07000008,2019,17.9,2.3,11.4,2.2,0.4,34.4,71.1,40.8,0.2,112.2,30.1,58.6,0.3,88.9,36.9,117.4,3.3,157.6,42.3,10.3,42.1,0.4,1.5,96.6,-0.6,0.6,-1.1,0.0,0.4,0.0,-0.6,489.1,124.8,3.9,40.7,12.0
East of England,Cambridgeshire,East Cambridgeshire,E07000009,2019,26.2,4.0,50.6,0.0,30.6,111.3,21.2,7.4,1.3,29.9,3.1,4.4,0.4,7.9,33.5,66.0,28.8,128.3,183.2,0.0,74.7,7.3,11.4,276.7,-18.5,776.2,19.6,-1.5,8.7,0.0,784.4,"1,338.5",89.8,14.9,651.7,2.1
East of England,Cambridgeshire,Fenland,E07000010,2019,38.8,96.9,41.0,73.5,28.7,278.9,24.5,11.6,0.7,36.9,4.8,6.9,0.2,11.8,38.0,85.7,21.0,144.6,73.8,0.0,95.7,5.7,6.8,181.9,-3.6,779.1,11.0,-0.4,8.6,0.0,794.7,"1,448.9",101.9,14.2,547.4,2.6
East of England,Cambridgeshire,Huntingdonshire,E07000011,2019,61.5,16.3,77.6,0.7,27.4,183.6,39.0,14.8,2.1,55.9,8.2,11.4,1.0,20.5,63.2,160.0,28.0,251.3,383.8,160.8,143.5,2.7,17.3,708.0,-25.7,403.8,-17.7,5.2,12.1,0.0,377.7,"1,597.0",178.0,9.0,912.5,1.8
East of England,Cambridgeshire,South Cambridgeshire,E07000012,2019,58.4,45.0,81.3,0.1,22.0,206.7,40.2,37.0,1.9,79.1,8.0,8.4,1.0,17.3,61.0,127.0,48.7,236.7,356.9,122.0,106.9,5.2,10.0,601.0,-15.9,97.9,-20.2,0.0,10.5,0.0,72.2,"1,213.0",159.1,7.6,901.7,1.3
East of England,Essex,Basildon,E07000066,2019,44.8,12.0,33.5,0.4,2.0,92.8,58.5,27.6,0.4,86.5,11.8,14.6,0.1,26.5,63.5,170.6,4.1,238.2,167.3,0.0,114.1,0.0,1.5,282.9,-3.3,1.2,-3.2,0.0,1.6,0.0,-3.7,723.2,187.2,3.9,110.4,6.5
East of England,Essex,Braintree,E07000067,2019,28.7,8.1,68.0,0.3,13.2,118.3,21.7,17.0,1.1,39.8,5.0,6.6,0.5,12.1,56.6,121.6,30.9,209.1,183.5,0.0,147.8,0.8,1.8,334.0,-24.3,7.6,-18.8,0.0,7.1,0.0,-28.4,684.9,152.6,4.5,611.7,1.1
East of England,Essex,Brentwood,E07000068,2019,9.4,3.8,21.1,0.0,3.0,37.3,16.2,13.6,0.4,30.2,3.0,5.2,0.1,8.3,30.0,94.5,2.9,127.4,142.8,58.0,52.8,0.5,1.3,255.5,-6.3,2.4,-5.3,0.0,2.6,0.0,-6.6,452.2,77.0,5.9,153.1,3.0
East of England,Essex,Castle Point,E07000069,2019,5.8,1.8,5.4,0.0,0.6,13.6,9.8,6.5,0.1,16.4,2.1,3.6,0.1,5.8,32.4,98.0,1.9,132.3,38.4,0.0,57.8,0.0,0.6,96.7,-1.2,0.5,-1.4,0.0,0.8,0.0,-1.3,263.6,90.4,2.9,63.7,4.1
East of England,Essex,Chelmsford,E07000070,2019,30.1,5.6,43.8,0.0,7.4,86.9,42.4,23.7,1.3,67.3,9.8,23.0,0.6,33.3,65.9,162.8,21.6,250.3,255.6,0.0,136.3,0.7,2.3,394.8,-15.1,4.2,-10.9,0.0,4.3,0.0,-17.4,815.2,178.4,4.6,343.0,2.4
East of England,Essex,Colchester,E07000071,2019,23.7,3.9,51.6,0.0,6.3,85.5,42.1,21.0,1.1,64.2,9.0,23.9,0.4,33.3,64.8,159.5,23.8,248.0,199.7,0.0,144.1,1.0,1.8,346.5,-15.5,3.6,-9.6,0.0,4.2,0.0,-17.3,760.2,194.7,3.9,346.8,2.2
East of England,Essex,Epping Forest,E07000072,2019,11.7,5.3,15.4,0.0,6.3,38.8,26.7,69.4,1.0,97.0,4.3,10.9,0.1,15.3,52.4,145.5,12.9,210.8,61.0,408.1,113.3,0.0,3.1,585.6,-16.7,5.0,-11.3,0.0,4.7,0.0,-18.2,929.4,131.7,7.1,339.0,2.7
East of England,Essex,Harlow,E07000073,2019,19.6,20.1,16.3,34.2,0.4,90.5,22.7,31.1,0.1,53.9,5.6,9.2,0.1,15.0,27.0,79.1,1.5,107.5,33.4,23.9,49.5,0.0,0.5,107.3,-1.3,0.3,-0.9,0.0,0.3,0.0,-1.6,372.7,87.1,4.3,30.5,12.2
East of England,Essex,Maldon,E07000074,2019,16.0,3.8,34.3,0.0,8.9,62.9,10.4,7.3,0.9,18.6,1.2,2.2,0.2,3.5,27.8,44.4,23.4,95.7,9.1,0.0,80.7,0.0,0.7,90.6,-12.3,4.0,-10.8,0.0,5.3,0.0,-13.8,257.5,64.9,4.0,428.1,0.6
East of England,Essex,Rochford,E07000075,2019,9.5,2.1,13.2,0.0,4.0,28.7,12.5,6.3,0.2,19.0,2.9,3.4,0.0,6.4,30.7,92.2,3.5,126.5,35.8,0.0,66.2,0.0,3.7,105.7,-2.7,2.3,-5.6,0.0,3.2,0.0,-2.8,283.4,87.4,3.2,263.1,1.1
East of England,Essex,Tendring,E07000076,2019,16.8,7.8,31.9,0.0,6.8,63.3,25.3,26.1,0.7,52.0,5.4,11.8,0.2,17.4,55.1,138.4,16.6,210.0,88.5,0.0,144.2,0.4,1.3,234.4,-14.0,3.6,-10.2,0.0,5.2,0.0,-15.3,561.8,146.6,3.8,366.2,1.5
East of England,Essex,Uttlesford,E07000077,2019,19.2,4.3,29.7,0.0,13.7,66.9,23.6,14.1,1.3,39.1,3.7,6.5,0.3,10.5,37.7,75.8,27.5,141.1,101.7,227.4,125.6,9.3,34.9,499.0,-21.1,8.4,-21.0,0.0,7.5,0.0,-26.2,730.3,91.3,8.0,641.2,1.1
East of England,Hertfordshire,Broxbourne,E07000095,2019,15.5,5.2,42.8,0.0,0.7,64.2,24.0,16.1,0.2,40.2,3.7,4.0,0.0,7.7,33.6,93.6,2.8,130.0,61.4,0.0,65.0,0.1,0.8,127.2,-5.8,0.8,-2.0,0.0,0.9,0.0,-6.1,363.2,97.3,3.7,51.4,7.1
East of England,Hertfordshire,Dacorum,E07000096,2019,19.7,3.4,12.2,0.9,4.5,40.6,52.1,27.9,0.8,80.8,10.9,12.7,0.3,23.8,53.2,162.6,8.6,224.4,109.6,53.4,104.1,0.9,1.5,269.5,-14.6,6.0,-12.1,0.0,5.6,0.0,-15.1,624.0,154.8,4.0,212.5,2.9
East of England,Hertfordshire,East Hertfordshire,E07000242,2019,22.3,13.2,45.3,2.0,10.9,93.6,30.2,25.6,1.0,56.8,5.5,9.1,0.4,14.9,58.7,143.3,17.4,219.4,144.1,0.0,130.8,0.2,1.6,276.7,-27.2,7.1,-18.0,0.0,7.2,0.0,-30.9,630.5,149.7,4.2,475.7,1.3
East of England,Hertfordshire,Hertsmere,E07000098,2019,12.4,6.7,25.4,0.0,1.9,46.4,36.4,28.4,0.4,65.3,5.6,10.4,0.2,16.2,38.3,123.8,2.6,164.7,64.0,225.6,62.6,0.6,1.6,354.3,-6.3,2.6,-4.4,0.0,2.1,0.0,-6.0,640.9,104.9,6.1,101.1,6.3
East of England,Hertfordshire,North Hertfordshire,E07000099,2019,27.1,25.7,31.8,0.0,9.5,94.0,26.5,19.3,0.6,46.5,5.0,8.0,0.1,13.1,47.2,129.0,14.8,191.0,100.3,69.9,114.9,1.5,1.6,288.2,-13.9,6.9,-15.9,0.0,6.4,0.0,-16.5,616.3,133.6,4.6,375.4,1.6
East of England,Hertfordshire,St Albans,E07000240,2019,8.8,11.2,9.0,0.4,3.1,32.6,32.7,24.4,0.4,57.4,4.8,8.7,0.2,13.8,51.8,175.6,3.2,230.5,100.2,331.7,99.9,0.6,2.5,534.9,-7.6,3.9,-8.1,0.0,3.6,0.0,-8.2,861.0,148.5,5.8,161.2,5.3
East of England,Hertfordshire,Stevenage,E07000243,2019,18.5,13.8,15.1,1.6,0.2,49.2,21.9,45.7,0.1,67.7,8.8,17.1,0.1,25.9,26.2,78.0,1.7,106.0,42.1,36.4,50.9,2.0,0.7,132.1,-1.1,0.6,-1.5,0.0,0.6,0.0,-1.4,379.5,87.8,4.3,26.0,14.6
East of England,Hertfordshire,Three Rivers,E07000102,2019,9.0,2.8,11.2,0.0,1.8,24.8,22.4,16.0,0.6,39.0,3.9,7.7,0.1,11.7,34.4,112.5,4.4,151.2,37.5,208.9,60.8,0.2,1.5,308.9,-5.2,2.6,-4.0,0.0,2.0,0.0,-4.6,531.0,93.3,5.7,88.8,6.0
East of England,Hertfordshire,Watford,E07000103,2019,13.0,3.3,9.7,0.3,0.1,26.3,45.1,17.1,0.3,62.5,6.1,9.6,0.0,15.7,30.3,93.4,1.7,125.4,44.1,10.8,39.6,0.2,0.6,95.2,-1.4,0.7,-1.0,0.0,0.5,0.0,-1.2,324.0,96.6,3.4,21.4,15.1
East of England,Hertfordshire,Welwyn Hatfield,E07000241,2019,39.0,6.9,28.8,0.2,2.1,77.0,50.6,29.4,0.6,80.5,16.4,15.7,0.5,32.5,38.2,118.7,2.7,159.6,49.5,102.9,90.1,6.6,1.4,250.5,-13.1,1.8,-4.5,0.0,2.1,0.0,-13.8,586.4,123.0,4.8,129.5,4.5
East of England,Luton,Luton,E06000032,2019,27.9,24.5,31.7,0.0,0.5,84.6,44.1,22.6,0.2,66.9,12.9,14.4,0.0,27.4,57.0,192.4,5.1,254.5,46.7,37.3,102.5,5.2,23.2,214.9,-1.8,0.8,-1.7,0.0,0.7,0.0,-2.0,646.2,213.1,3.0,43.4,14.9
