Local Authority territorial CO2 emissions estimates 2005-2019 (kt CO2) - Full dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region/Country,Second Tier Authority,Local Authority,Code,Year,Industry Electricity,Industry Gas ,Industry 'Other Fuels',Large Industrial Installations,Agriculture,Industry Total,Commercial Electricity,Commercial Gas ,Commercial 'Other Fuels',Commercial Total,Public Sector Electricity,Public Sector Gas ,Public Sector 'Other Fuels',Public Sector Total,Domestic Electricity,Domestic Gas,Domestic 'Other Fuels',Domestic Total,Road Transport (A roads),Road Transport (Motorways),Road Transport (Minor roads),Diesel Railways,Transport Other,Transport Total,Net Emissions: Forest land,Net Emissions: Cropland,Net Emissions: Grassland,Net Emissions: Wetlands,Net Emissions: Settlements,Net Emissions: Harvested Wood Products,LULUCF Net Emissions,Grand Total,"Population                                              ('000s, mid-year estimate)",Per Capita Emissions (t),Area (km2),Emissions per km2 (kt)
East of England,Suffolk,East Suffolk,E07000244,2019,54.2,28.6,131.4,0.0,25.1,239.3,60.9,26.1,2.6,89.6,11.1,11.6,1.0,23.7,97.2,210.6,51.1,359.0,216.7,0.0,173.6,5.9,13.3,409.4,-100.3,34.5,11.4,-1.5,17.0,0.0,-38.8,"1,082.2",249.5,4.3,"1,294.8",0.8
East of England,Suffolk,Ipswich,E07000202,2019,11.8,6.6,14.4,7.5,0.2,40.4,32.6,16.9,0.1,49.6,7.9,11.5,0.2,19.6,44.0,116.6,3.3,164.0,68.5,0.0,36.2,2.0,0.5,107.2,-1.2,0.5,-1.3,0.0,0.5,0.0,-1.5,379.4,136.9,2.8,40.3,9.4
East of England,Suffolk,Mid Suffolk,E07000203,2019,34.0,34.7,89.1,0.4,19.8,178.0,18.5,11.5,1.6,31.5,3.3,8.9,0.6,12.8,43.4,46.0,57.6,147.0,187.3,0.0,90.3,3.1,1.3,282.1,-26.7,17.7,-19.1,0.7,10.2,0.0,-17.0,634.4,103.9,6.1,871.1,0.7
East of England,Suffolk,West Suffolk,E07000245,2019,57.7,206.0,53.8,291.7,21.7,630.9,51.4,85.3,2.7,139.4,9.8,46.8,0.9,57.5,66.4,123.7,54.8,244.9,311.0,0.0,106.9,5.5,2.0,425.5,-89.6,179.3,1.4,-0.4,13.0,0.0,103.8,"1,602.0",179.0,8.9,"1,034.7",1.5
East of England,Thurrock,Thurrock,E06000034,2019,44.5,76.5,28.0,0.8,2.6,152.4,81.9,26.6,0.8,109.3,17.9,9.0,0.2,27.2,56.6,138.9,3.3,198.8,211.9,117.2,105.2,0.5,2.0,436.7,-7.9,2.6,-5.9,0.0,3.2,0.0,-8.1,916.3,174.3,5.3,184.3,5.0
London,Barking and Dagenham,Barking and Dagenham,E09000002,2019,18.5,3.5,20.6,23.0,0.2,65.8,45.6,25.0,0.2,70.8,10.8,11.7,0.0,22.5,52.6,148.0,3.5,204.1,119.1,0.0,73.5,8.2,1.0,201.8,-1.6,0.7,-1.3,0.0,0.7,0.0,-1.5,563.6,212.9,2.6,37.8,14.9
London,Barnet,Barnet,E09000003,2019,20.5,7.3,15.1,0.0,0.6,43.6,65.7,55.6,0.3,121.6,15.5,37.1,0.1,52.7,128.0,420.7,5.0,553.6,236.7,63.3,142.1,0.8,2.3,445.2,-2.2,2.5,-4.2,0.0,2.0,0.0,-1.9,"1,214.8",395.9,3.1,86.7,14.0
London,Bexley,Bexley,E09000004,2019,27.1,80.5,27.8,7.7,0.4,143.5,49.1,41.1,0.2,90.4,11.5,14.1,0.0,25.6,75.5,235.9,4.5,316.0,138.1,0.0,117.6,0.4,1.4,257.5,-5.1,1.8,-3.4,0.0,1.8,0.0,-5.0,828.0,248.3,3.3,64.3,12.9
London,Brent,Brent,E09000005,2019,46.0,19.5,32.0,0.2,0.2,97.8,95.3,62.7,0.3,158.3,19.0,28.5,0.0,47.6,87.0,296.8,3.2,387.0,116.9,0.0,105.9,5.0,1.2,228.9,-1.8,1.2,-1.9,0.0,0.9,0.0,-1.6,918.0,329.8,2.8,43.2,21.2
London,Bromley,Bromley,E09000006,2019,15.1,3.9,13.8,0.0,1.8,34.6,55.9,37.3,0.2,93.4,12.7,28.3,0.0,41.0,111.5,392.2,7.5,511.2,126.8,0.2,183.2,6.1,11.8,328.1,-11.1,3.8,-7.3,0.0,3.8,0.0,-10.9,997.4,332.3,3.0,150.1,6.6
London,Camden,Camden,E09000007,2019,38.8,11.7,14.3,0.9,0.1,65.8,188.4,171.1,2.4,361.8,42.1,104.2,0.6,146.9,70.6,182.6,3.5,256.7,78.5,0.0,56.7,1.5,0.6,137.2,-0.5,0.6,-1.0,0.0,0.5,0.0,-0.4,968.1,270.0,3.6,21.8,44.4
London,City of London,City of London,E09000001,2019,39.2,6.2,11.9,0.3,0.0,57.7,366.1,124.1,2.4,492.7,13.8,10.9,0.1,24.9,5.8,5.7,0.1,11.6,31.4,0.0,21.9,0.0,0.2,53.6,0.0,0.1,-0.1,0.0,0.0,0.0,0.0,640.4,9.7,65.9,3.1,203.3
London,Croydon,Croydon,E09000008,2019,25.3,5.4,11.2,0.0,0.6,42.4,88.7,46.2,0.2,135.1,26.3,34.5,0.1,60.9,118.5,398.1,6.8,523.5,120.1,0.0,187.5,1.2,1.7,310.5,-4.3,2.3,-4.4,0.0,2.2,0.0,-4.1,"1,068.3",386.7,2.8,86.5,12.4
London,Ealing,Ealing,E09000009,2019,56.9,29.5,30.8,0.6,0.3,118.0,109.6,66.6,0.1,176.3,20.4,32.0,0.0,52.5,97.4,323.6,5.2,426.1,193.3,0.0,118.0,8.4,1.6,321.3,-3.1,1.6,-2.5,0.0,1.2,0.0,-2.7,"1,091.5",341.8,3.2,55.5,19.7
London,Enfield,Enfield,E09000010,2019,27.2,28.9,21.4,0.9,0.9,79.2,66.3,52.2,0.4,118.9,16.6,25.4,0.1,42.1,98.8,301.8,5.2,405.9,194.8,141.2,129.8,0.3,2.1,468.2,-2.4,2.3,-4.0,0.0,1.9,0.0,-2.2,"1,112.1",333.8,3.3,82.2,13.5
London,Greenwich,Greenwich,E09000011,2019,24.4,14.3,16.9,0.5,0.2,56.3,52.9,48.4,0.4,101.6,17.6,32.7,0.1,50.4,76.9,220.3,3.8,301.0,167.4,0.0,114.2,0.0,1.4,283.0,-3.4,1.3,-2.4,0.0,1.3,0.0,-3.3,788.9,287.9,2.7,50.4,15.6
London,Hackney,Hackney,E09000012,2019,25.9,4.2,7.2,0.0,0.1,37.3,74.4,42.2,0.4,117.0,17.7,22.2,0.1,40.0,70.8,189.3,2.2,262.4,83.0,0.0,67.3,0.2,0.7,151.1,-0.4,0.5,-0.8,0.0,0.4,0.0,-0.3,607.4,281.1,2.2,19.0,31.9
London,Hammersmith and Fulham,Hammersmith and Fulham,E09000013,2019,18.3,3.4,10.7,0.4,0.0,32.9,103.9,59.0,0.6,163.5,17.6,41.3,0.0,58.9,58.8,169.8,1.9,230.5,102.3,0.0,51.3,1.7,0.7,156.1,-0.5,0.4,-0.7,0.0,0.4,0.0,-0.4,641.4,185.1,3.5,17.2,37.4
London,Haringey,Haringey,E09000014,2019,24.6,7.8,8.6,0.0,0.1,41.1,55.8,41.4,0.1,97.3,10.3,15.9,0.0,26.3,72.8,243.3,2.8,318.9,82.0,0.0,90.6,1.2,0.8,174.6,-0.6,0.8,-1.3,0.0,0.6,0.0,-0.5,657.6,268.6,2.4,29.6,22.2
London,Harrow,Harrow,E09000015,2019,7.8,3.2,7.6,0.0,0.3,19.0,28.5,24.6,0.1,53.2,6.9,15.6,0.1,22.6,71.8,275.5,3.3,350.6,55.1,7.8,123.8,0.9,1.1,188.6,-3.3,1.6,-2.3,0.0,1.2,0.0,-2.8,631.1,251.2,2.5,50.5,12.5
London,Havering,Havering,E09000016,2019,17.5,8.8,25.1,0.4,1.4,53.2,49.5,22.4,0.3,72.3,12.2,14.0,0.0,26.2,81.3,260.4,6.8,348.6,139.0,160.1,130.1,0.6,1.9,431.6,-5.5,2.5,-4.6,0.0,2.4,0.0,-5.2,926.6,259.6,3.6,114.5,8.1
London,Hillingdon,Hillingdon,E09000017,2019,58.4,20.6,26.1,6.8,1.4,113.1,116.2,77.9,1.8,195.9,23.3,27.0,0.3,50.6,88.0,280.6,5.6,374.1,174.9,132.3,254.2,7.6,111.4,680.4,-7.6,3.8,-5.7,0.0,2.9,0.0,-6.6,"1,407.5",306.9,4.6,115.7,12.2
London,Hounslow,Hounslow,E09000018,2019,36.8,10.4,15.1,0.9,0.4,63.6,127.1,72.7,0.4,200.1,20.3,22.4,0.1,42.7,78.9,228.1,4.5,311.6,156.4,76.6,132.7,0.5,2.0,368.1,-3.2,1.6,-3.2,0.0,1.6,0.0,-3.2,983.0,271.5,3.6,56.6,17.4
London,Islington,Islington,E09000019,2019,23.7,5.2,8.8,0.1,0.0,37.9,117.3,93.5,1.0,211.8,17.8,25.3,0.1,43.3,64.1,174.1,1.8,240.1,61.0,0.0,55.8,0.6,0.5,117.9,-0.3,0.4,-0.6,0.0,0.3,0.0,-0.3,650.7,242.5,2.7,14.9,43.8
London,Kensington and Chelsea,Kensington and Chelsea,E09000020,2019,23.0,3.9,5.3,0.0,0.0,32.2,146.6,105.2,0.2,252.0,24.9,48.8,0.0,73.7,73.9,167.3,3.1,244.2,92.7,0.0,56.3,1.2,0.6,150.8,-0.4,0.3,-0.6,0.0,0.3,0.0,-0.3,752.6,156.1,4.8,12.4,60.8
London,Kingston upon Thames,Kingston upon Thames,E09000021,2019,11.0,1.9,11.9,0.1,0.4,25.3,46.0,22.0,0.2,68.3,11.9,20.8,0.0,32.8,53.7,171.7,2.8,228.1,126.5,0.0,100.5,0.6,2.4,230.0,-1.8,1.0,-1.9,0.0,1.0,0.0,-1.7,582.9,177.5,3.3,37.3,15.6
London,Lambeth,Lambeth,E09000022,2019,20.4,4.1,18.6,0.0,0.1,43.2,82.9,66.3,0.2,149.4,23.2,63.8,0.1,87.1,89.1,268.9,3.6,361.6,114.8,0.0,119.3,0.6,1.0,235.7,-0.8,0.6,-1.2,0.0,0.6,0.0,-0.8,876.2,326.0,2.7,27.2,32.2
London,Lewisham,Lewisham,E09000023,2019,9.4,4.1,4.7,0.1,0.1,18.3,38.8,43.6,0.0,82.5,11.7,23.1,0.0,34.8,83.8,257.7,3.9,345.4,93.2,0.0,160.1,0.6,1.3,255.2,-1.5,1.0,-1.8,0.0,0.9,0.0,-1.4,734.8,305.8,2.4,35.3,20.8
London,Merton,Merton,E09000024,2019,27.2,6.8,9.9,0.0,0.2,44.1,64.8,33.7,0.1,98.5,12.5,14.1,0.0,26.6,63.9,207.6,3.4,274.9,65.3,0.0,81.7,0.5,0.8,148.4,-1.3,0.9,-1.7,0.0,0.9,0.0,-1.1,591.3,206.5,2.9,37.6,15.7
London,Newham,Newham,E09000025,2019,50.5,100.1,13.1,1.1,0.1,164.9,123.0,47.3,0.4,170.7,33.0,35.6,0.0,68.6,78.1,212.3,3.4,293.7,215.7,0.0,90.5,0.7,17.5,324.4,-1.4,0.8,-1.4,0.0,0.7,0.0,-1.3,"1,021.0",353.1,2.9,38.6,26.5
London,Redbridge,Redbridge,E09000026,2019,8.9,3.2,9.6,0.0,0.4,22.1,34.4,26.4,0.1,60.9,9.6,17.3,0.1,27.0,80.4,280.0,4.0,364.4,181.9,36.9,98.0,0.2,1.6,318.6,-2.8,1.3,-2.4,0.0,1.3,0.0,-2.6,790.4,305.2,2.6,56.4,14.0
London,Richmond upon Thames,Richmond upon Thames,E09000027,2019,10.1,2.2,8.1,0.1,0.4,20.8,45.4,35.9,0.2,81.5,8.0,14.2,0.0,22.3,69.6,228.3,4.0,301.9,89.2,0.0,93.0,0.0,7.0,189.2,-2.9,1.6,-3.1,0.0,1.5,0.0,-2.9,612.8,198.0,3.1,58.8,10.4
London,Southwark,Southwark,E09000028,2019,36.1,8.4,7.7,0.3,0.1,52.6,147.2,100.4,0.6,248.2,34.6,74.2,0.1,108.9,91.9,201.3,3.9,297.0,100.4,0.0,125.2,0.5,1.1,227.1,-1.0,0.8,-1.4,0.0,0.7,0.0,-0.9,932.9,318.8,2.9,29.9,31.2
London,Sutton,Sutton,E09000029,2019,17.3,6.4,10.0,0.7,0.3,34.8,43.3,25.8,0.1,69.2,12.1,16.3,0.0,28.5,65.8,200.1,4.1,270.0,47.5,0.0,115.0,0.0,0.9,163.5,-1.6,1.2,-2.2,0.0,1.2,0.0,-1.5,564.4,206.3,2.7,43.8,12.9
London,Tower Hamlets,Tower Hamlets,E09000030,2019,91.7,11.6,15.8,1.9,0.0,121.1,303.8,94.6,1.3,399.7,76.4,50.0,0.2,126.6,87.6,136.0,2.4,226.1,171.7,0.0,112.6,0.2,1.3,285.8,-0.5,0.6,-1.0,0.0,0.5,0.0,-0.4,"1,158.8",324.7,3.6,21.6,53.7
London,Waltham Forest,Waltham Forest,E09000031,2019,19.1,6.7,10.9,0.1,0.2,36.9,37.8,28.7,0.2,66.6,10.0,18.4,0.0,28.4,70.2,232.2,3.8,306.3,130.1,0.0,75.1,1.0,1.1,207.3,-0.9,1.1,-1.8,0.0,0.9,0.0,-0.7,644.8,277.0,2.3,38.8,16.6
London,Wandsworth,Wandsworth,E09000032,2019,17.1,9.0,7.8,0.1,0.1,34.2,70.9,56.7,0.4,128.0,16.2,57.0,0.0,73.2,102.7,293.8,3.5,400.1,129.1,0.0,98.6,1.0,1.1,229.8,-1.2,0.9,-1.7,0.0,0.9,0.0,-1.1,864.2,329.7,2.6,35.2,24.5
London,Westminster,Westminster,E09000033,2019,53.3,15.0,43.0,0.3,0.1,111.7,498.0,316.0,7.6,821.7,82.2,121.3,0.9,204.3,100.0,185.8,4.4,290.1,180.9,0.0,89.6,2.0,1.1,273.5,-0.5,0.6,-1.0,0.0,0.5,0.0,-0.5,"1,700.9",261.3,6.5,22.0,77.2
South East,Bracknell Forest,Bracknell Forest,E06000036,2019,13.7,2.7,6.4,1.6,1.5,25.9,42.9,29.9,0.3,73.0,7.3,18.4,0.0,25.8,41.8,117.6,4.7,164.0,71.7,8.3,68.3,0.4,0.8,149.4,-13.0,3.7,-5.7,0.0,3.1,0.0,-12.0,426.1,122.5,3.5,109.4,3.9
South East,Brighton and Hove,Brighton and Hove,E06000043,2019,17.4,3.5,14.2,0.2,1.8,37.2,71.5,43.6,0.4,115.5,17.3,29.1,0.2,46.6,88.1,249.5,8.8,346.4,132.4,0.0,153.4,0.4,1.6,287.8,-5.1,1.8,-4.3,0.0,2.2,0.0,-5.4,828.0,290.9,2.8,85.4,9.7
South East,Buckinghamshire,Buckinghamshire,E06000060,2019,78.7,19.8,115.0,1.2,30.6,245.3,110.0,92.7,3.3,206.0,24.0,49.5,1.5,75.0,206.8,584.5,54.8,846.1,379.9,589.3,339.8,9.1,7.1,"1,325.2",-116.1,47.3,-76.6,0.0,34.5,0.0,-110.8,"2,586.7",544.0,4.8,"1,564.9",1.7
South East,East Sussex,Eastbourne,E07000061,2019,7.4,2.1,6.4,0.1,0.9,16.9,24.4,13.5,0.1,38.0,6.0,16.9,0.1,23.0,33.2,89.6,2.7,125.5,32.1,0.0,45.3,0.9,0.4,78.7,-4.8,1.0,-2.3,0.0,1.3,0.0,-4.8,277.4,103.7,2.7,45.3,6.1
South East,East Sussex,Hastings,E07000062,2019,9.5,2.1,7.7,0.0,0.3,19.7,15.6,8.8,0.0,24.4,4.8,5.4,0.1,10.3,30.6,83.5,2.7,116.8,26.0,0.0,42.6,0.3,0.4,69.3,-3.1,0.7,-1.4,0.0,0.8,0.0,-3.1,237.5,92.7,2.6,30.8,7.7
South East,East Sussex,Lewes,E07000063,2019,12.2,5.0,18.3,1.7,9.5,46.5,13.9,7.8,0.7,22.3,4.3,6.6,0.4,11.4,37.0,90.4,18.3,145.7,97.4,0.0,68.8,4.9,0.9,172.0,-26.9,6.0,-13.3,0.0,6.9,0.0,-27.3,370.6,103.3,3.6,294.4,1.3
South East,East Sussex,Rother,E07000064,2019,12.6,40.2,15.4,6.6,15.9,90.7,18.1,7.6,0.8,26.4,3.3,4.3,0.3,7.9,39.7,89.8,26.4,156.0,80.3,0.0,88.5,5.1,1.5,175.3,-75.0,9.5,-20.9,0.0,10.8,0.0,-75.6,380.7,96.1,4.0,517.1,0.7
South East,East Sussex,Wealden,E07000065,2019,19.4,2.9,35.4,0.0,24.4,82.0,21.3,12.5,1.8,35.6,3.9,6.3,0.7,11.0,66.0,139.4,56.4,261.7,169.7,0.0,166.3,4.0,2.3,342.3,-140.3,14.7,-34.7,0.0,17.2,0.0,-143.1,589.5,161.5,3.7,836.2,0.7
South East,Hampshire,Basingstoke and Deane,E07000084,2019,38.3,48.9,36.8,0.1,17.3,141.3,56.1,23.5,1.3,80.9,10.6,8.4,0.5,19.6,64.3,153.3,36.0,253.7,210.5,150.9,134.4,13.1,2.6,511.4,-68.7,23.8,-36.9,0.0,19.3,0.0,-62.4,944.5,176.6,5.3,633.8,1.5
South East,Hampshire,East Hampshire,E07000085,2019,21.9,3.8,39.2,0.0,13.3,78.3,16.5,12.4,0.9,29.8,3.7,5.2,0.7,9.6,49.6,121.2,27.9,198.7,185.9,12.9,125.6,0.5,2.7,327.6,-56.6,15.9,-30.5,0.0,15.9,0.0,-55.2,588.8,122.3,4.8,514.4,1.1
South East,Hampshire,Eastleigh,E07000086,2019,25.1,6.1,21.3,0.0,1.7,54.2,35.1,15.7,0.3,51.1,6.9,8.0,0.0,15.0,42.4,121.7,6.8,171.0,30.8,148.2,77.5,8.2,7.9,272.6,-8.2,4.3,-1.5,0.0,2.7,0.0,-2.7,561.1,133.6,4.2,85.3,6.6
South East,Hampshire,Fareham,E07000087,2019,20.0,6.6,16.3,2.8,1.6,47.3,23.2,17.9,0.1,41.2,6.1,13.7,0.1,19.8,38.3,108.9,6.4,153.7,47.3,92.8,60.9,0.9,1.0,202.9,-7.2,2.2,-3.7,0.0,2.5,0.0,-6.3,458.5,116.2,3.9,77.9,5.9
South East,Hampshire,Gosport,E07000088,2019,12.1,2.1,7.8,0.1,0.3,22.4,12.3,9.1,0.1,21.5,4.2,5.2,0.0,9.4,27.1,64.3,2.9,94.4,11.3,0.0,44.9,0.0,0.3,56.4,-2.6,0.8,-1.0,0.0,1.0,0.0,-1.9,202.2,84.8,2.4,27.6,7.3
South East,Hampshire,Hart,E07000089,2019,17.6,2.4,22.5,0.1,4.5,47.1,35.7,14.7,1.0,51.4,5.7,7.1,0.4,13.1,35.5,110.3,7.9,153.6,48.3,103.9,78.9,1.7,1.4,234.3,-29.1,6.8,-11.4,0.0,6.4,0.0,-27.2,472.3,97.1,4.9,215.3,2.2
South East,Hampshire,Havant,E07000090,2019,14.8,4.6,19.4,1.2,0.9,40.9,20.9,8.1,0.1,29.1,4.7,4.9,0.0,9.7,41.7,116.7,5.9,164.3,65.5,34.0,64.3,0.1,0.9,164.8,-5.2,1.6,-3.4,0.0,2.3,0.0,-4.7,404.2,126.2,3.2,78.9,5.1
South East,Hampshire,New Forest,E07000091,2019,30.6,18.8,58.4,108.0,14.4,230.3,48.8,15.9,1.7,66.4,9.1,7.8,0.4,17.2,67.9,174.1,28.6,270.6,204.5,44.4,209.0,2.7,2.6,463.3,-125.7,20.3,-35.2,0.0,20.8,0.0,-119.7,928.0,180.1,5.2,776.3,1.2
South East,Hampshire,Rushmoor,E07000092,2019,17.6,5.5,13.5,0.0,0.3,36.9,25.2,26.6,0.3,52.0,4.6,8.6,0.1,13.3,29.2,87.7,2.4,119.3,59.3,26.6,47.2,1.4,0.8,135.3,-7.9,1.1,-1.9,0.0,1.1,0.0,-7.6,349.3,94.6,3.7,39.0,8.9
South East,Hampshire,Test Valley,E07000093,2019,32.3,17.5,42.1,1.2,20.9,114.0,29.0,25.4,1.4,55.8,4.9,14.9,0.6,20.4,49.3,93.9,45.4,188.6,201.5,126.7,114.4,9.3,2.3,454.2,-71.6,30.9,-19.0,-0.1,19.6,0.0,-40.1,792.8,126.2,6.3,627.6,1.3
South East,Hampshire,Winchester,E07000094,2019,23.4,2.5,50.0,0.0,20.9,96.8,40.2,20.5,1.7,62.4,11.8,14.9,0.6,27.2,47.4,109.0,33.4,189.8,140.0,179.0,131.7,1.8,2.6,455.1,-57.1,20.6,-33.1,-0.1,20.3,0.0,-49.3,782.0,124.9,6.3,661.1,1.2
South East,Isle of Wight,Isle of Wight,E06000046,2019,17.8,15.3,28.2,1.4,11.5,74.2,33.0,41.1,0.7,74.8,5.6,21.9,0.2,27.7,54.7,123.5,20.7,199.0,65.3,0.0,52.7,0.0,0.7,118.7,-34.0,7.2,-12.8,0.0,9.1,0.0,-30.4,463.9,141.8,3.3,392.8,1.2
South East,Kent,Ashford,E07000105,2019,24.1,7.0,38.3,7.2,15.3,92.0,27.2,27.2,1.3,55.7,4.5,8.2,0.3,13.0,46.3,98.6,38.1,182.9,95.9,105.2,77.9,1.4,2.0,282.4,-67.9,9.3,-22.8,0.0,10.5,0.0,-70.8,555.2,130.0,4.3,580.6,1.0
South East,Kent,Canterbury,E07000106,2019,14.1,18.0,12.0,0.1,6.2,50.4,41.3,14.6,0.7,56.6,10.9,20.7,0.2,31.8,50.2,147.0,12.2,209.4,145.4,0.0,79.2,0.1,1.2,225.9,-28.7,5.2,-12.4,0.0,7.5,0.0,-28.3,545.7,165.4,3.3,318.6,1.7
South East,Kent,Dartford,E07000107,2019,19.0,5.2,17.7,0.7,1.0,43.6,26.2,17.3,0.5,44.1,5.1,10.5,0.0,15.6,34.5,102.1,4.7,141.2,181.7,128.3,40.2,0.0,1.6,351.8,-5.8,1.9,-3.7,0.0,2.0,0.0,-5.7,590.6,112.6,5.2,76.3,7.7
South East,Kent,Dover,E07000108,2019,14.7,5.6,26.5,6.0,7.0,59.9,22.2,31.2,0.6,54.0,5.5,15.9,0.4,21.8,37.9,104.6,14.4,156.9,96.9,0.0,58.9,0.1,0.8,156.7,-15.6,7.7,-13.6,0.0,7.9,0.0,-13.6,435.7,118.1,3.7,320.8,1.4
South East,Kent,Folkestone and Hythe,E07000112,2019,17.7,2.1,19.2,0.0,9.5,48.4,23.4,12.7,0.8,36.9,5.7,9.0,0.3,14.9,39.0,97.7,20.1,156.8,64.5,62.9,61.5,0.0,7.6,196.6,-25.5,5.8,-14.0,0.0,7.2,0.0,-26.6,427.2,113.0,3.8,365.5,1.2
South East,Kent,Gravesham,E07000109,2019,24.2,52.3,8.8,2.4,1.8,89.6,28.5,9.1,0.1,37.7,7.5,5.6,0.1,13.1,32.5,96.4,8.3,137.2,130.7,19.2,36.5,0.0,0.9,187.4,-8.2,2.2,-4.7,0.0,2.7,0.0,-8.0,457.0,106.9,4.3,105.0,4.4
South East,Kent,Maidstone,E07000110,2019,26.5,10.1,55.1,0.1,11.2,103.0,39.8,19.8,1.5,61.2,9.0,15.0,0.3,24.2,58.9,153.2,22.7,234.7,117.9,170.6,83.1,0.1,3.7,375.3,-41.9,7.2,-17.1,0.0,7.7,0.0,-44.2,754.2,171.8,4.4,393.4,1.9
South East,Kent,Sevenoaks,E07000111,2019,16.6,3.8,21.2,0.0,9.3,51.0,20.3,12.7,1.3,34.4,3.7,6.1,0.3,10.1,49.5,127.7,25.2,202.4,88.9,337.4,78.0,5.1,2.5,511.9,-47.1,8.3,-16.4,0.0,8.3,0.0,-46.9,762.8,120.8,6.3,370.3,2.1
South East,Kent,Swale,E07000113,2019,40.1,72.3,50.8,401.9,8.6,573.6,36.4,21.8,1.3,59.5,7.9,8.6,0.2,16.7,48.3,127.8,13.2,189.3,130.2,124.7,75.8,2.3,1.7,334.7,-24.7,6.4,-14.4,0.0,9.5,0.0,-23.2,"1,150.6",150.1,7.7,422.0,2.7
South East,Kent,Thanet,E07000114,2019,15.3,30.4,14.2,0.0,2.0,61.9,29.6,81.0,0.2,110.8,8.5,19.2,0.2,27.8,47.5,135.3,4.8,187.7,67.2,0.0,56.8,0.2,4.1,128.4,-0.3,1.9,-4.6,0.0,3.4,0.0,0.3,516.9,141.9,3.6,112.5,4.6
South East,Kent,Tonbridge and Malling,E07000115,2019,29.2,31.9,28.4,0.0,5.6,95.1,29.5,9.4,1.0,39.9,4.5,3.2,0.3,8.0,45.7,126.1,13.7,185.5,135.7,191.1,61.1,0.2,3.2,391.4,-26.3,4.7,-10.3,0.0,5.0,0.0,-26.9,693.0,132.2,5.2,241.0,2.9
South East,Kent,Tunbridge Wells,E07000116,2019,14.7,1.5,16.4,0.0,9.1,41.7,38.6,14.8,0.7,54.1,6.5,8.6,0.3,15.4,45.8,111.5,26.2,183.5,94.8,0.0,64.9,0.3,1.0,161.0,-56.9,5.3,-12.8,0.0,5.9,0.0,-58.5,397.2,118.7,3.3,331.3,1.2
South East,Medway,Medway,E06000035,2019,28.7,35.7,34.3,0.0,3.3,102.0,42.2,12.5,0.5,55.2,14.8,15.1,0.1,30.0,84.7,245.7,13.5,343.9,112.5,66.2,121.2,0.1,1.6,301.6,-12.9,4.2,-8.9,0.0,5.5,0.0,-12.1,820.5,278.6,2.9,269.1,3.0
South East,Milton Keynes,Milton Keynes,E06000042,2019,73.6,31.4,32.5,0.0,6.9,144.5,101.2,77.6,1.1,179.9,20.9,25.6,0.8,47.3,83.7,249.5,16.0,349.2,161.3,195.3,220.4,1.0,2.9,580.9,-14.3,7.5,-11.5,0.0,3.0,0.0,-15.3,"1,286.4",269.5,4.8,308.6,4.2
South East,Oxfordshire,Cherwell,E07000177,2019,33.5,62.3,98.8,11.1,17.7,223.3,51.7,34.8,1.9,88.4,9.1,15.1,0.7,24.9,56.7,123.0,45.7,225.3,214.6,286.1,98.2,25.5,14.4,638.8,-17.3,16.5,-26.0,0.0,10.2,0.0,-16.7,"1,184.1",150.5,7.9,588.7,2.0
South East,Oxfordshire,Oxford,E07000178,2019,16.0,43.3,22.2,5.0,0.7,87.2,66.5,54.6,0.2,121.2,41.8,52.6,0.1,94.5,42.4,133.0,5.5,180.9,70.0,0.0,45.9,4.1,8.9,129.0,-2.6,1.4,-2.3,0.0,1.1,0.0,-2.4,610.3,152.5,4.0,45.6,13.4
South East,Oxfordshire,South Oxfordshire,E07000179,2019,32.6,4.1,41.0,0.0,22.2,99.9,57.7,28.6,1.4,87.7,9.0,8.9,0.7,18.6,59.8,138.4,37.0,235.1,108.4,156.4,99.6,16.2,35.0,415.5,-59.9,20.3,-36.3,0.0,17.8,0.0,-58.1,798.7,142.1,5.6,678.5,1.2
South East,Oxfordshire,Vale of White Horse,E07000180,2019,42.9,9.6,41.6,0.1,17.7,111.9,47.0,26.6,0.9,74.5,9.6,13.2,0.3,23.2,50.7,127.7,26.2,204.6,270.6,0.0,87.8,14.8,24.5,397.7,-17.1,17.6,-29.9,0.0,14.1,0.0,-15.3,796.5,136.0,5.9,578.7,1.4
South East,Oxfordshire,West Oxfordshire,E07000181,2019,30.6,5.1,53.8,2.7,20.0,112.2,28.9,13.9,2.0,44.8,4.1,12.0,0.8,16.9,46.1,99.1,36.9,182.1,96.7,0.0,92.4,3.1,16.7,209.0,-26.2,20.5,-32.8,0.0,13.6,0.0,-24.9,540.2,110.6,4.9,714.4,0.8
South East,Portsmouth,Portsmouth,E06000044,2019,28.7,7.8,31.9,3.6,0.5,72.6,68.5,47.2,0.7,116.5,24.9,24.3,0.4,49.7,62.1,161.4,6.6,230.1,92.6,87.1,102.0,1.8,1.5,285.0,-3.1,1.0,-2.1,0.0,1.5,0.0,-2.8,751.1,214.9,3.5,60.1,12.5
South East,Reading,Reading,E06000038,2019,36.6,5.4,13.6,0.1,0.4,56.1,46.4,37.6,0.3,84.3,14.1,26.8,0.1,41.0,53.2,146.2,4.8,204.1,55.6,11.0,46.9,9.4,5.5,128.4,-3.9,1.4,-2.5,0.0,1.3,0.0,-3.7,510.2,161.8,3.2,40.4,12.6
